,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
162,santa elena,100,EC,1580101495,82,78.03,-2.23,-80.85,8.86
163,lima,100,PE,1580101203,88,73.4,-12.04,-77.03,14.99
164,hofn,100,IS,1580101384,80,38.71,64.25,-15.21,26.15
165,deputatskiy,100,RU,1580101495,78,-25.29,69.3,139.9,2.3
166,baruun-urt,0,MN,1580101495,84,14.14,46.68,113.28,5.53
167,saint george,90,US,1580101208,66,53.01,37.1,-113.58,9.17
168,poiana lacului,15,RO,1580101496,86,34.95,44.82,24.73,2.86
169,las cruces,1,US,1580101496,39,55.4,32.31,-106.78,9.17
170,zhigansk,0,RU,1580101496,61,-29.11,66.77,123.37,2.89
171,vila franca do campo,20,PT,1580101496,88,62.6,37.72,-25.43,13.87
172,zhigalovo,76,RU,1580101496,86,20.86,54.81,105.16,1.16
173,kaitangata,100,NZ,1580101496,86,57.56,-46.28,169.85,5.32
174,kavaratti,20,IN,1580101496,70,84.2,10.57,72.64,0.89
175,airai,27,TL,1580101497,67,81.01,-8.93,125.41,5.14
176,miedzyrzec podlaski,100,PL,1580101497,74,31.66,51.99,22.78,6.42
177,peniche,75,PT,1580101497,93,57.0,39.36,-9.38,9.17
178,sitka,90,US,1580101497,86,41.0,57.05,-135.33,8.05
179,nanortalik,100,GL,1580101498,75,22.44,60.14,-45.24,22.75
180,manacapuru,100,BR,1580101498,88,78.8,-3.3,-60.62,4.7
181,praia da vitoria,75,PT,1580101498,88,62.6,38.73,-27.07,25.75
182,yecla,0,ES,1580101498,66,50.0,38.61,-1.11,14.99
183,saldanha,53,ZA,1580101498,82,55.4,-33.01,17.94,6.93
184,nuuk,100,GL,1580101323,72,12.2,64.18,-51.72,10.29
185,bilma,32,NE,1580101499,15,57.34,18.69,12.92,7.11
186,porto empedocle,1,IT,1580101499,92,46.99,37.29,13.53,5.23
187,ruhengeri,100,RW,1580101499,71,57.22,-1.5,29.64,3.51
188,dawlatabad,0,AF,1580101499,52,41.77,36.41,64.91,5.01
189,esperance,0,AU,1580101499,43,87.8,-33.87,121.9,14.99
190,port shepstone,67,ZA,1580101481,55,64.38,-30.74,30.45,14.43
191,ballina,0,AU,1580101500,65,89.6,-28.87,153.57,14.99
192,georgetown,20,MY,1580101500,49,91.4,5.41,100.34,13.87
193,bae,20,ID,1580101500,70,90.0,-6.77,110.86,8.05
194,ilulissat,63,GL,1580101500,59,-0.4,69.22,-51.1,2.24
195,yulara,0,AU,1580101501,8,100.4,-25.24,130.99,17.22
196,broome,90,US,1580101501,92,35.01,42.25,-75.83,8.05
197,dubbo,39,AU,1580101501,30,96.8,-32.25,148.62,11.41
198,jamame,100,SO,1580101501,86,81.25,0.07,42.75,12.73
199,kenora,90,CA,1580101501,92,15.8,49.82,-94.43,5.82
200,constitucion,6,CL,1580101501,47,66.81,-35.33,-72.42,6.51
201,tabory,100,RU,1580101502,95,-1.46,58.52,64.55,7.7
202,larap,97,PH,1580101502,84,79.59,14.3,122.65,10.94
203,half moon bay,1,US,1580101273,81,53.6,37.46,-122.43,3.36
204,cayenne,99,GF,1580101502,100,73.4,4.93,-52.33,4.7
205,elko,20,US,1580101223,86,34.0,41.0,-115.5,10.29
206,leningradskiy,100,RU,1580101503,93,-7.55,69.38,178.42,12.62
207,dikson,100,RU,1580101503,94,-6.65,73.51,80.55,6.49
208,geraldton,0,AU,1580101503,26,96.8,-28.77,114.6,12.75
209,lavrentiya,0,RU,1580101503,83,-15.29,65.58,-171.0,0.47
210,amapa,100,BR,1580101503,99,71.89,1.0,-52.0,2.24
211,hualmay,100,PE,1580101504,84,70.81,-11.1,-77.61,4.07
212,umtata,10,ZA,1580101504,62,53.6,-31.59,28.78,9.17
213,arraial do cabo,61,BR,1580101504,80,75.6,-22.97,-42.03,12.73
214,lakes entrance,100,AU,1580101504,75,75.99,-37.88,147.98,5.01
215,waycross,90,US,1580101504,62,53.6,31.21,-82.35,3.36
216,sainte-marie,19,RE,1580101504,57,80.6,-20.9,55.55,11.41
217,sherbakul,75,RU,1580101505,86,28.4,54.63,72.4,20.13
218,bronzani majdan,75,BA,1580101505,100,35.6,44.79,16.93,2.24
219,alangudi,20,IN,1580101505,61,80.6,10.36,78.98,4.7
220,reykjavik,40,IS,1580101505,75,32.0,64.14,-21.9,13.87
221,torbay,90,CA,1580101505,79,30.99,47.67,-52.73,10.29
222,irtyshskiy,100,RU,1580101506,94,9.82,58.33,68.13,10.02
223,boa vista,23,BR,1580101506,65,82.4,2.82,-60.67,5.82
224,touros,75,BR,1580101506,94,78.8,-5.2,-35.46,4.7
225,huarmey,100,PE,1580101506,74,72.91,-10.07,-78.15,3.27
226,ylivieska,100,FI,1580101506,87,16.0,64.08,24.67,15.01
227,port elizabeth,20,ZA,1580101213,77,60.8,-33.92,25.57,10.29
228,grindavik,40,IS,1580101507,76,32.0,63.84,-22.43,13.87
229,lapua,90,FI,1580101507,85,19.99,62.92,23.17,11.41
230,jumla,19,NP,1580101266,85,53.01,29.27,82.18,2.84
231,ornskoldsvik,100,SE,1580101507,100,30.2,63.29,18.72,10.29
232,tshikapa,98,CD,1580101508,95,71.17,-6.42,20.8,2.28
233,marystown,100,CA,1580101508,90,35.37,47.17,-55.15,23.98
234,dwarka,2,IN,1580101508,78,72.23,22.24,68.97,9.4
235,nizhniy tsasuchey,0,RU,1580101508,68,14.67,50.52,115.13,2.15
236,nkhotakota,100,MW,1580101508,78,76.98,-12.93,34.3,4.12
237,menongue,99,AO,1580101509,90,66.16,-14.66,17.69,0.78
238,lewiston,1,US,1580101509,86,37.0,44.1,-70.21,4.7
239,sao filipe,0,CV,1580101509,61,73.35,14.9,-24.5,14.61
240,pacific grove,1,US,1580101509,87,54.0,36.62,-121.92,5.82
241,sept-iles,90,CA,1580101347,86,28.99,50.2,-66.38,9.17
242,mana,100,GF,1580101509,99,73.47,5.66,-53.78,2.26
243,tartus,75,SY,1580101510,76,51.8,34.89,35.89,4.7
244,maniitsoq,100,GL,1580101510,81,11.35,65.42,-52.9,5.46
245,phalombe,56,MW,1580101510,79,74.98,-15.81,35.65,3.94
246,mega,100,ET,1580101510,75,70.86,4.05,38.3,13.98
247,kalmunai,93,LK,1580101510,64,80.2,7.42,81.82,10.04
248,khatanga,96,RU,1580101510,98,-19.32,71.97,102.5,1.01
249,champerico,2,GT,1580101511,80,73.83,14.3,-91.92,4.27
250,searcy,1,US,1580101511,100,46.4,35.25,-91.74,5.23
251,houma,90,US,1580101511,100,55.99,29.6,-90.72,4.7
252,acapulco,5,MX,1580101450,74,80.6,16.86,-99.89,8.05
253,takoradi,7,GH,1580101511,90,72.82,4.88,-1.76,0.85
254,mae hong son,0,TH,1580101512,52,68.0,19.3,97.97,2.24
255,haines junction,100,CA,1580101512,99,-3.28,60.75,-137.51,4.18
256,tautira,20,PF,1580101512,74,84.2,-17.73,-149.15,5.82
257,manzhouli,0,CN,1580101512,82,8.65,49.6,117.43,2.37
258,kiunga,23,PG,1580101512,43,96.31,-6.12,141.29,2.33
259,port hardy,90,CA,1580101285,93,41.0,50.7,-127.42,2.24
260,portage,90,US,1580101513,96,35.01,41.17,-81.2,9.17
261,stornoway,100,GB,1580101513,93,37.4,58.21,-6.39,13.87
262,hecun,76,CN,1580101513,42,40.1,36.53,114.11,1.86
263,makakilo city,1,US,1580101513,64,78.8,21.35,-158.09,5.82
264,portland,90,US,1580101380,87,48.2,45.52,-122.68,14.99
265,wasilla,75,US,1580101497,49,1.4,61.58,-149.44,11.41
266,dehloran,0,IR,1580101514,47,50.16,32.69,47.27,2.33
267,myitkyina,0,MM,1580101514,24,76.03,25.38,97.4,1.92
268,caratinga,100,BR,1580101514,99,66.94,-19.79,-42.14,1.92
269,hami,20,CN,1580101514,57,18.41,42.8,93.45,0.43
270,naze,75,JP,1580101514,68,71.6,28.37,129.48,17.22
271,podgorica,90,ME,1580101515,100,46.4,42.44,19.26,3.36
272,alice springs,17,AU,1580101395,11,98.6,-23.7,133.88,19.46
273,ous,100,RU,1580101515,95,-5.57,60.91,61.52,8.37
274,saskylakh,96,RU,1580101515,97,-18.78,71.92,114.08,5.26
275,cotonou,17,BJ,1580101321,83,71.6,6.37,2.42,4.7
276,sola,72,VU,1580101515,75,83.46,-13.88,167.55,13.04
277,ryotsu,75,JP,1580101516,60,42.8,38.08,138.43,13.87
278,ternate,96,ID,1580101516,66,85.78,0.8,127.4,6.35
279,mango,75,US,1580101516,87,59.0,27.98,-82.31,5.03
280,necochea,0,AR,1580101516,66,59.0,-38.55,-58.74,8.01
281,carballo,75,ES,1580101516,93,54.0,43.21,-8.69,3.36
282,trelew,41,AR,1580101516,45,53.38,-43.25,-65.31,9.69
283,choix,0,MX,1580101517,59,66.94,26.71,-108.32,0.38
284,tiruttani,28,IN,1580101517,64,82.4,13.18,79.61,3.36
285,siavonga,32,ZM,1580101517,72,76.17,-16.54,28.71,8.63
286,coihaique,94,CL,1580101517,58,53.6,-45.58,-72.07,3.36
287,ponta delgada,20,PT,1580101517,88,62.6,37.73,-25.67,13.87
288,seymchan,100,RU,1580101517,99,-28.66,62.88,152.43,2.37
289,antofagasta,90,CL,1580101518,88,72.0,-23.65,-70.4,8.05
290,si sa ket,75,TH,1580101518,58,82.4,15.11,104.33,4.7
291,ludwigslust,83,DE,1580101518,96,37.0,53.32,11.5,1.99
292,gat,100,IL,1580101426,87,46.0,31.61,34.76,1.12
293,tessalit,100,ML,1580101518,11,65.57,20.2,1.01,5.46
294,eyl,16,SO,1580101518,76,79.34,7.98,49.82,29.21
295,chernyshevskiy,78,RU,1580101519,95,-3.69,63.01,112.47,6.49
296,zemio,74,CF,1580101519,23,70.12,5.03,25.14,7.7
297,walvis bay,46,NA,1580101519,87,60.01,-22.96,14.51,5.82
298,nata,100,PA,1580101519,25,71.01,8.33,-80.52,5.28
299,tuatapere,94,NZ,1580101519,73,63.0,-46.13,167.68,8.01
300,pouembout,87,NC,1580101519,52,82.4,-21.13,164.9,6.51
301,kloulklubed,75,PW,1580101520,70,86.0,7.04,134.26,8.05
302,luganville,75,VU,1580101520,70,86.0,-15.53,167.17,9.17
303,jacareacanga,82,BR,1580101520,94,74.01,-6.22,-57.75,2.73
304,krasnoye,94,UA,1580101520,92,26.6,49.91,24.61,3.8
305,capul,51,PH,1580101520,75,81.19,12.42,124.18,5.46
306,longyearbyen,51,SJ,1580101520,77,3.2,78.22,15.64,3.36
307,lufilufi,75,WS,1580101521,83,82.4,-13.87,-171.6,9.82
308,torbat-e jam,0,IR,1580101521,58,36.59,35.24,60.62,10.56
309,yaguajay,0,CU,1580101432,77,72.27,22.33,-79.24,7.58
310,husavik,59,IS,1580101521,79,21.2,66.04,-17.34,11.41
311,gumdag,0,TM,1580101521,62,46.0,39.21,54.59,11.18
312,pevek,100,RU,1580101522,92,-3.24,69.7,170.31,3.31
313,fredericksburg,1,US,1580101248,84,39.2,38.3,-77.46,2.71
314,talakan,42,RU,1580101522,89,7.57,50.32,130.37,3.78
315,sicuani,100,PE,1580101522,98,34.95,-14.27,-71.23,4.23
316,ulladulla,59,AU,1580101522,55,96.01,-35.35,150.47,13.87
317,prince rupert,90,CA,1580101522,87,42.8,54.32,-130.32,21.92
318,narsaq,96,GL,1580101523,65,8.6,60.92,-46.05,4.7
319,doha,0,QA,1580101523,58,64.0,25.29,51.53,13.87
320,kefalos,40,GR,1580101523,76,55.4,36.75,26.96,8.05
321,pervomayskiy,100,RU,1580101523,96,33.82,53.25,40.29,13.76
322,lowicz,100,PL,1580101523,92,32.0,52.11,19.95,5.82
323,moyale,99,KE,1580101523,76,74.79,3.52,39.06,11.39
324,kaeo,35,NZ,1580101524,75,79.0,-35.1,173.78,10.11
325,freeport,1,US,1580101524,69,39.99,40.66,-73.58,20.02
326,faanui,39,PF,1580101524,74,83.48,-16.48,-151.75,10.13
327,camana,96,PE,1580101524,90,66.72,-16.62,-72.71,3.56
328,bubaque,84,GW,1580101524,48,77.67,11.28,-15.83,13.85
329,ucluelet,97,CA,1580101424,92,46.0,48.93,-125.55,1.01
330,coahuayana,5,MX,1580101525,88,66.2,18.73,-103.68,4.76
331,hirado,75,JP,1580101525,81,53.01,33.36,129.55,19.46
332,guerrero negro,10,MX,1580101525,86,57.99,27.98,-114.06,12.73
333,muncar,1,ID,1580101525,75,83.95,-8.43,114.33,10.38
334,vestmannaeyjar,87,IS,1580101525,63,38.77,63.44,-20.27,14.56
335,teguldet,100,RU,1580101526,76,17.28,57.31,88.17,10.85
336,robertsport,82,LR,1580101526,78,79.92,6.75,-11.37,0.78
337,manyana,9,BW,1580101526,32,68.86,-23.4,21.72,10.07
338,udala,40,ES,1580101526,75,57.2,43.08,-2.51,19.46
339,hoceni,64,RO,1580101526,70,31.95,46.54,28.01,3.31
340,lasa,5,IT,1580101526,86,30.99,46.62,10.7,5.82
341,nurobod,90,UZ,1580101527,64,35.6,40.91,69.8,2.24
342,benguela,93,AO,1580101527,81,78.19,-12.58,13.41,1.28
343,isangel,83,VU,1580101527,83,78.84,-19.55,169.27,14.76
344,kenai,1,US,1580101527,76,6.01,60.55,-151.26,6.93
345,birjand,2,IR,1580101528,86,26.6,32.87,59.22,4.7
346,ichinohe,75,JP,1580101528,44,43.0,40.21,141.3,16.11
347,toktogul,94,KG,1580101528,91,16.97,41.87,72.94,1.61
348,narva-joesuu,100,EE,1580101528,93,29.93,59.46,28.04,14.29
349,yumen,52,CN,1580101528,32,30.79,40.28,97.2,12.24
350,meulaboh,67,ID,1580101528,76,83.48,4.14,96.13,3.33
351,hovd,23,MN,1580101492,56,17.37,48.01,91.64,1.72
352,urussu,98,RU,1580101529,95,10.22,54.6,53.46,5.99
353,toora-khem,41,RU,1580101529,86,13.41,52.47,96.11,2.68
354,beloha,0,MG,1580101529,42,88.54,-25.17,45.05,8.75
355,kano,0,NG,1580101447,23,56.59,12.0,8.52,7.58
356,vao,100,NC,1580101530,82,78.28,-22.67,167.48,16.35
357,dzhebariki-khaya,60,RU,1580101530,82,-28.89,62.22,135.8,2.44
358,polunochnoye,100,RU,1580101530,95,-4.58,60.87,60.42,7.76
359,herat,75,AF,1580101530,100,30.2,34.5,62.0,2.24
360,luderitz,0,NA,1580101531,63,60.8,-26.65,15.16,6.93
361,hobyo,78,SO,1580101531,63,81.07,5.35,48.53,24.83
362,yamada,56,JP,1580101531,54,36.16,39.47,141.95,5.17
363,bozhou,79,CN,1580101531,56,43.05,33.88,115.77,7.38
364,vagamo,100,NO,1580101531,98,18.27,61.88,9.1,5.12
365,pareora,100,NZ,1580101531,90,68.0,-44.49,171.21,4.0
366,jalu,95,LY,1580101532,41,52.5,29.03,21.55,8.43
367,vardo,100,NO,1580101532,66,21.4,70.37,31.11,12.15
368,sabha,0,LY,1580101532,23,54.86,27.04,14.43,5.64
369,oktyabrskiy,98,RU,1580101532,95,10.22,54.48,53.47,5.99
370,moura,90,PT,1580101532,100,39.2,38.14,-7.45,2.24
371,estacion coahuila,1,MX,1580101533,42,62.6,32.19,-115.0,6.93
372,ghanzi,38,BW,1580101533,31,75.38,-21.57,21.78,12.26
373,laguna,1,US,1580101533,81,54.0,38.42,-121.42,4.7
374,altay,78,CN,1580101533,85,18.46,47.87,88.12,1.5
375,salalah,0,OM,1580101533,25,60.8,17.02,54.09,23.04
376,susanino,63,RU,1580101534,92,12.36,58.15,41.59,7.85
377,dingle,11,PH,1580101424,69,85.33,11.0,122.67,7.36
378,belomorsk,51,RU,1580101534,93,7.66,64.52,34.77,8.14
379,loudi,69,CN,1580101534,70,40.98,27.73,111.99,8.43
380,cabo san lucas,20,MX,1580101369,77,66.2,22.89,-109.91,4.7
381,palanga,90,LT,1580101534,93,41.0,55.92,21.07,3.36
382,clyde river,1,CA,1580101535,74,-27.4,70.47,-68.59,4.7
383,qui nhon,68,VN,1580101413,71,79.18,13.77,109.23,5.06
384,poum,12,NC,1580101535,79,79.74,-20.23,164.02,20.56
385,kholmogory,2,RU,1580101535,83,-7.6,64.22,41.66,4.47
386,kirakira,99,SB,1580101535,74,82.9,-10.45,161.92,0.85
387,coari,98,BR,1580101536,86,77.07,-4.08,-63.14,2.71
